;;;;;;;;;;;;;;;;;;;;;;;;;;
Area;Leaf No.;Stamp Position on Leaf;Data;;;;;;;;;;;;;;;;;;;;;;;
;;;Plant 1;;Plant 2;;Plant 3;;Plant 4;;Plant 5;;Plant 6;;Plant 7;;Plant 8;;Plant 9;;Plant 10;;Plant 11;;Plant 12;
;;;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density;Stomatal Count;Stomatal Density
Cape d'Aguilar, Shek O;1;A;17;266,88;16;251,18;14;219,78;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;B;20;313,97;23;361,07;16;251,18;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;C;20;313,97;14;219,78;11;172,68;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;D;17;266,88;15;235,48;15;235,48;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;E;13;204,08;20;313,97;16;251,18;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;F;18;282,57;16;251,18;14;219,78;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;Leaf Mean;17,50;274,73;17,33;272,11;14,33;225,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;2;A;18;282,57;23;361,07;18;282,57;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;B;20;313,97;22;345,37;22;345,37;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
